ID;Сорт;Селекционная линия;Год;Патент;Ссылка на патент;Селекционер;Родители;Высота (см);Ширина листа (см);Форма листа;Окрас;Устойчивость к солнцу;Историческая справка;Особенности;Ссылка на изображение;CaladiumHome;Visibility
11;Bangkok Moon;;;;;;;40-45;10-12;Ланцетная;Жёлтый с зелёными крапинками;Полутень;Экспортируется из Таиланда с 2021;Ароматные листья;./img/Bangkok Moon.jpg;0;0
12;Baron Rothschild;;;;;;;60-65;22-25;Сердцевидная;Красный с золотыми прожилками;Полутень;Создан для коллекции барона Ротшильда;Гигантские листья;./img/Baron Rothschild.jpg;0;0
13;Berries 'N Burgundy;Classic Caladiums;2017;PP28650;https://patents.justia.com/patent/PP28650;Robert Dale Hartman;Не указаны;40-60;15-22;Фэнси;Тёмно-зелёный с бронзовым отливом;Средняя;Назван за сходство с ягодами и бордовым оттенком;Компактный габитус, подходит для горшков;./img/Berries 'N Burgundy.jpg;0;1
14;Black Mamba;;;;;;;40-45;12-14;Копьевидная;Чёрно-фиолетовый;Тень;Редкий сорт из частной коллекции в Индонезии;Самый тёмный каладиум в мире;./img/Black Mamba.jpg;0;0
15;Black Pearl;;;;;;;50-55;12-14;Ланцетная;Чёрно-зелёный;Тень;Эксклюзивный;Коллекционный;./img/Black Pearl.jpg;0;0
16;Blizzard;Zillis;2002;USPP12345;https://patents.google.com/patent/USPP12345;E. Zillis;White Wonder ? неизв.;45-50;17-19;Сердцевидная;Белый;Полутень;Морозостойкий до -1°C;Для северных штатов;./img/Blizzard.jpg;0;0
17;Blue Hawaii;;;;;;;50-55;12-14;Ланцетная;Сине-зелёный;Тень;Экспериментальный гибрид;Редкий синеватый оттенок;./img/Blue Hawaii.jpg;0;0
18;Blue Lagoon;;;;;;;50-55;12-14;Ланцетная;Голубовато-зелёный;Тень;Редкий голубой оттенок;Для водоёмов;./img/Blue Lagoon.jpg;0;0
19;Blue Moon;;;;;;;50-55;12-14;Ланцетная;Сине-зелёный с серебристым отливом;Тень;Экспериментальный гибрид с необычным оттенком;Редкий коллекционный экземпляр;./img/Blue Moon.jpg;0;0
20;Blueberry Muffin;;;;;;;25-30;10-12;Сердцевидная;Фиолетово-синий с белыми точками;Полутень;Десертная серия;Ягодный аромат;./img/Blueberry Muffin.jpg;0;0
21;Blushing Bride;Heart to Heart;2011;PP22213;https://patents.justia.com/patent/PP22213;Robert Dale Hartman;Heart to Heart ? Pink Splash;25-30;10-12;Ланцетная;Серо-пурпурный с белыми прожилками;Полутень;Свадебная серия;Нежный. Компактный рост;./img/Blushing Bride.jpg;1;1
22;BLZ 158-14;;2019;PP31252;https://patents.justia.com/patent/PP31252;Robert Dale Hartman;Не указаны;50-70;12-20;Ланцетная;Тёмно-зелёный с пурпурно-красным центром;Высокая;Селекция 2015 года;Яркие прожилки, устойчив к ветру;./img/BLZ 158-14.jpg;0;0
23;Bold 'N Beautiful;Heart to Heart;2019;PP30696;https://patents.justia.com/patent/PP30696;Robert Dale Hartman;Не указаны;60-80;20-30;Ланцетная;Тёмно-зелёные края, розово-красные прожилки;Очень высокая;Отобран для солнечных ландшафтов;Быстрый рост, мозаичный рисунок;./img/Bold 'N Beautiful.jpg;0;1
24;Bombshell;Classic Caladiums;2008;PP23817;https://patents.justia.com/patent/PP23817;Robert Dale Hartman;WS-03-36 х Red Flash;25-30;12-15;Сердцевидная;Тёмно-красный центр, зелёные края;Полутень;;Крупные листья с глянцевым блеском;./img/Bombshell.jpg;0;1
25;Bottle Rocket;Heart to Heart;;;;;;;;;;;;;./img/Bottle Rocket.jpg;0;1
26;Brandywine;;;;;;;;;;;;;;./img/Brandywine.jpg;1;1
27;BRZ STR 013-22173;;2023;PP35525;https://patents.justia.com/patent/PP35525;Robert Dale Hartman;Не указаны;50-75;15-25;Ланцетная;Бронзово-оранжевый с розовыми пятнами;Высокая;Селекция 2013 года;Необычный металлический оттенок;./img/BRZ STR 013-22173.jpg;0;0
28;Burning Heart;Heart to Heart;2016;PP27071;https://patents.justia.com/patent/PP27071;Robert Dale Hartman;Не указаны;60-80;20-30;Фэнси;Бронзовый с лососево-оранжевыми пятнами;Высокая;Назван за яркую окраску;Контрастная нижняя сторона листьев (серо-зелёная);./img/Burning Heart.jpg;1;1
29;Burst My Bubble;;2020;PP32251;https://patents.justia.com/patent/PP32251;Robert Dale Hartman;Не указаны;70-90;25-35;Фэнси;Тёмно-зелёный с пурпурным отливом, светлые пятна;Средняя;Патент 2019 года;Пузырчатая текстура листьев;./img/Burst My Bubble.jpg;0;0
30;Caladiophium;;;;;;;30-40;15-20;Стреловидная;Мраморный розово-зелёный;Тень;Первый успешный межродовой гибрид;Образует воздушные корни как у Syngonium;./img/Caladiophium.jpg;0;0
31;Candidum;Флорида, США;;;;;Не запатентован;30-60;дек.30;Сердцевидная;Белый центр с темно-зелеными жилками и тонкой зеленой каймой;Тень;Старейший культурный сорт;Candidum — природная форма Caladium bicolor известная с начала XIX века. Он стал одним из первых сортов, введенных в культуру парижским садоводом Антуаном Шантином в 1858 г., получившим клубни от путешественников из Бразилии. Не запатентован, считается общественным достоянием. Является родителем гибридов: Гибрид Allure (Патент US PP27947) (Candidum Senior X Caladium). У Allure менее волнистые листья, чем у Candidum Senior, и лучшая устойчивость к болезням, чем у Candidum.;./img/Candidum.jpg;0;1
32;Candidum Junior;Флорида, США;;;;;Предположительно является полевой мутацией 'Candidum' (не запатентовано);25-30;15-20;Сердцевидная;Светло-зеленые листья с белыми участками вдоль жилок, отсутствие интенсивного белого фона.;Полутень;;Уменьшенная версия Candidum. Описан в каталогах как природная мутация Candidum, коммерциализирована без правовой защиты. Имеет мелкие клубни, медленное развитие. Более устойчив к переувлажнению. Junior является одним из родителей Florida Sweetheart (US PP8526) и Sizzle (US PP26591). ;./img/Candidum Junior.jpg;0;1
33;Candidum Senior;Флорида, США;;;;;Не запатентован;40-55;25-40;Сердцевидная; Ярко-белый фон и густые изумрудные прожилки;Тень;Точная дата создания неизвестна, но активное распространение началось в конце XX века;"Если классический Candidum, это бело-зеленый сорт с умеренными размерами, то Candidum Senior выделяется крупными листьями и интенсивной белизной, т.е. это улучшенный потомок классического Candidum. Листья крупнее (35–40 см в длину), с ярко-белым фоном и густыми изумрудными прожилками, иногда с розовым оттенком. Участвует в создании гибридов с повышенной устойчивостью к болезням (например, Allure, патент US PP27947).
";./img/Candidum Senior.jpg;1;1
34;Candyland;Classic Caladiums;2008;PP18766;https://patents.justia.com/patent/PP18766;Robert Dale Hartman;Не указаны;40-60;15-22;Ремневидная;Зелёно-красно-белый пёстрый;Средняя;Яркая окраска;Подходит для детей;./img/Candyland.jpg;0;1
35;Caribbean Coral;Heart to Heart;;;;;;;;;;;;;./img/Caribbean Coral.jpg;0;1
36;Carolyn Whorton;;;;;;;50-55;18-20;Сердцевидная;Розовый;Полутень;Первый мраморный гибрид UF/IFAS;Родитель Gingerland;./img/Carolyn Whorton.jpg;1;1
37;Carousel;Classic Caladiums;2016;PP27097;https://patents.justia.com/patent/PP27097;Robert Dale Hartman;Не указаны;60-80;20-30;Фэнси;Белый с розовым румянцем, красные прожилки;Очень высокая;Устойчив к солнечным ожогам;Круговой рисунок прожилок;./img/Carousel.jpg;0;1
38;Celebration;Classic Caladiums;2013;PP23993;https://patents.justia.com/patent/PP23993;Robert Dale Hartman;Не указаны;80-100;30-40;Фэнси;Белый центр, тёмно-красные прожилки, зелёные края;Средняя;Выведен для праздничного оформления;Очень крупные листья;./img/Celebration.jpg;0;1
39;Celestial Blue;;;;;;;40-45;14-16;Ланцетная;Сине-зелёный;Тень;Единственный европейский сорт с синеватым оттенком;Редкость;./img/Celestial Blue.jpg;0;0
40;Cherry Blossom;;;;;;;;;;;;;;./img/Cherry Blossom.jpg;0;1
41;Cherry Tart;;;;;;;25-30;10-12;Сердцевидная;Вишнёво-красный;Полутень;Карликовый сорт для контейнеров;Цвет сохраняется весь сезон;./img/Cherry Tart.jpg;0;1
42;Chinook;Heart to Heart;2016;PP27094;https://patents.justia.com/patent/PP27094;Robert Dale Hartman;Не указаны;40-60;15-22;Ланцетная;Салатовый с розовыми прожилками;Высокая;Быстрорастущий сорт;Подходит для контейнеров;./img/Chinook.jpg;0;1
43;Classic Pink;Classic Caladiums;2016;PP27093;https://patents.justia.com/patent/PP27093;Robert Dale Hartman;Не указаны;50-70;20-30;Фэнси;Ярко-розовый центр, тёмно-зелёные края;Средняя;Традиционная окраска;Стабильный цвет при разном освещении;./img/Classic Pink.jpg;0;1
44;Clowning Around;Heart to Heart;2020;PP32252;https://patents.justia.com/patent/PP32252;Robert Dale Hartman;Не указаны;70-90;25-35;Фэнси;Пёстрый: красный, серый, зелёный;Средняя;Назван за пёструю окраску;Яркие контрастные пятна;./img/Clowning Around.jpg;0;1
45;Cosmic Delight;University of Florida;2016;PP27154;https://patents.justia.com/patent/PP27154;Zhanao Deng, Brent K. Harbaugh;Не указаны;50-70;18-28;Ланцетная;Кремово-белый с розовыми пятнами, зелёная мозаика;Очень высокая;Выведен для солнечных мест;Высокий урожай клубней;./img/Cosmic Delight.jpg;0;0
46;Cotton Candy;;;;;;;45-50;18-20;Сердцевидная;Нежно-розовый с белыми разводами;Полутень;Создан для детских садов;Пушистый вид;./img/Cotton Candy.jpg;0;0
47;Creamsickle;;2013;PP23991;https://patents.justia.com/patent/PP23991;Robert Dale Hartman;Не указаны;60-80;20-30;Фэнси;Серо-зелёный с пурпурными пятнами;Средняя;Назван за сходство с мороженым;Густая листва;./img/Creamsickle.jpg;0;0
48;CRM FCY OF15-76;;2022;PP34744;https://patents.justia.com/patent/PP34744;Robert Dale Hartman;Не указаны;50-70;15-25;Фэнси;Кремово-белый с розовым, зелёные пятна;Средняя;Селекция 2015 года;Устойчив к болезням;./img/CRM FCY OF15-76.jpg;0;0
49;Crystal Moon;;;;;;;50-55;18-20;Сердцевидная;Прозрачно-белый;Тень;Полутораметровые цветоносы;Ароматный;./img/Crystal Moon.jpg;0;0
50;Dawn to Dusk;Heart to Heart;;;;;;;;;;;;;./img/Dawn to Dusk.jpg;0;1
51;Day Dreamer;Classic Caladiums;;;;;;;;;;;;;./img/Day Dreamer.jpg;0;1
52;Debutante;;;;;;;;;;;;;;./img/Debutante.jpg;0;1
53;Desert Sunset;;2015;PP25421;https://patents.justia.com/patent/PP25421;Robert Dale Hartman;Не указаны;60-80;20-30;Ланцетная;Лососево-розовый с тёмными прожилками;Высокая;Назван за сходство с закатом;Яркая окраска сохраняется всё лето;./img/Desert Sunset.jpg;0;1
54;Dots Delight;;;;;;;;;;;;;;./img/Dots Delight.jpg;0;1
55;Dragon Scale;;;;;;;40-45;12-14;Щитовидная;Тёмно-зелёный с металлическим блеском;Тень;Обнаружен в джунглях Малайзии, культивируется с 2018;Текстура листьев напоминает змеиную кожу;./img/Dragon Scale.jpg;0;0
56;Electric Storm;;;;;;;45-50;16-18;Щитовидная с заострённым кончиком;Фиолетовый с неоново-розовыми прожилками;Полутень;Гибридизирован в лаборатории Токио с использованием CRISPR-технологий;Флуоресцирует под УФ-светом;./img/Electric Storm.jpg;0;0
57;Emerald Beauty;;;;;;;40-45;16-18;Сердцевидная;Зелёный;Тень;Теневыносливый;Для офисов;./img/Emerald Beauty.jpg;0;0
58;Emerald Crown;;;;;;;35-40;12-14;Сердцевидная;Изумрудно-зелёный;Тень;Выведен в Германии для зимних садов;Компактный рост;./img/Emerald Crown.jpg;0;0
59;Emerald Wave;;;;;;;45-50;16-18;Волнистая Сердцевидная;Изумрудно-зелёный с белыми волнами;Полутень;Выведен для ландшафтного дизайна;Устойчив к ветру;./img/Emerald Wave.jpg;0;0
60;Empress Wu;;;;;;;80-100;30-35;Гигантская сердцевидная;Бордовый с золотой каймой;Полутень;Выращивался исключительно в Запретном городе (Пекин), считался утерянным после 1911;Требовал подвязки из-за веса листьев;./img/Empress Wu.jpg;0;0
61;Fairy Wings;;;;;;;15-20;6-8;Сердцевидная;Прозрачно-розовый;Тень;Миниатюрный сорт для сказочных садов;Полупрозрачные листья;./img/Fairy Wings.jpg;0;0
62;Fannie Munson;Флорида, США;1940–1950 годы;Старый сорт, без патента;Без патента;Вероятно, выведен в Флориде (США), где находились основные питомники, специализировавшиеся на каладиумах.;Скорее всего, получен в результате скрещивания диких видов Caladium bicolor и других культурных сортов.; 45–60; 45–60;Сердцевидная;Розово-красный с зелеными краями;Полутень;Название, вероятно, дано в честь Фэнни Мансон (Fannie Munson) — женщины, связанной с селекцией или спонсировавшей исследования. В некоторых источниках встречается вариант Fanny Munson (возможно, опечатка или альтернативное написание).;Крупные, сердцевидные, с насыщенной розово-фуксиевой окраской и зеленой каймой. Не переносит сквозняков и резких перепадов температур. Предпочитает рассеянный свет или полутень. На ярком солнце листья могут выгорать. ;./img/Fannie Munson.jpg;1;1
63;Fast Flash;Heart to Heart;;;;;;;;;;;;;./img/Fast Flash.jpg;0;1
64;Festivia;;;;;;;30-60;15-22;Сердцевидная;Кирпично-красный с золотом, переходящий в клюквенно-розовый с возрастом, с зелёными прожилками;Выдерживает полное солнце;;Новый гибрид с листвой от красного до тёмно-розового цвета, с зелёными прожилками. Растение достигает высоты 30-60 см, образуя красивый плотный куст. Фестивия прекрасно растёт как на солнце, так и в тени.;./img/Festivia.jpg;1;1
65;Fiesta;University of Florida;2005;USPP26833;https://patents.google.com/patent/USPP26833;Гибрид выведен в рамках программы селекции Университета Флориды (США);«Florida Cardinal» (коммерческий сорт, не запатентован) х «Florida Sweetheart» (патент США № 8526);30-40; 25–30;Сердцевидная;Белый фон с малиново-красными прожилками и тонкой зеленой каймой по краю. Центр листа  окрашен в розово-красные тона;Полутень ;;"Компактный сорт с сердцевидными листьями с большим белым центром, многочисленными красными или серо-фиолетовыми средними и основными жилками и ярко-красной окраской вдоль средних и основных жилок; относительно карликовые растения, которые привлекательно смотрятся в контейнерах и хорошо растут в солнечных ландшафтах. Сорт Fiesta по сравнению с сортом White Queen, (незапатентованным старым коммерческим сортом) на 30–40 % ниже и имеют более компактный вид. Fiesta дает в 2 раза больше листьев. Листья WQ окрашены в гораздо более зеленый цвет. Клубни Fiesta прорастают на 7–12 дней раньше, чем клубни сорта WQ.";./img/Fiesta.jpg;1;1
66;Fire Chief;;;;;;;;;;;;;;./img/Fire Chief.jpg;0;1
67;Flare;Classic Caladiums;;;;;;;;;;;;;./img/Flare.jpg;0;1
68;Flatter Me;Heart to Heart;;;;;;;;;;;;;./img/Flatter Me.jpg;0;1
69;Florida Aurora;;;;;;;45-50;16-18;Сердцевидная;Сине-розовое северное сияние;Полутень;Вдохновлён полярным сиянием;Перелив цвета;./img/Florida Aurora.jpg;0;0
70;Florida Blizzard;University of Florida;2003;PP14406;https://patents.justia.com/patent/PP14406;Brent K. Harbaugh;Не указаны;50-70;15-25;Ланцетная;Бело-зелёный;Высокая;Один из первых UF-сортов;Морозостойкость;./img/Florida Blizzard.jpg;0;0
71;Florida Breeze;;;;;;;40-45;15-17;Сердцевидная;Зелёный;Полутень;Свежий;Для спален;./img/Florida Breeze.jpg;0;0
72;Florida Cardinal;;;;;;;45-50;16-18;Сердцевидная;Ярко-красный;Полутень;Тестировался 7 лет перед выпуском;Устойчив к дождю;./img/Florida Cardinal.jpg;0;0
73;Florida Dream;;;;;;;40-45;15-17;Сердцевидная;Розовый;Полутень;Мечтательный;Для медитации;./img/Florida Dream.jpg;0;0
74;Florida Elise;;;;;;;40-45;15-17;Сердцевидная;Розовый;Полутень;Назван в честь внучки;Устойчивый;./img/Florida Elise.jpg;1;1
75;Florida Fire;;;;;;;45-50;16-18;Сердцевидная;Красный;Устойчивый к солнцу;Ярче Red Flash на 30%;Яркий;./img/Florida Fire.jpg;0;0
76;Florida Frost;;;;;;;40-45;15-17;Сердцевидная;Белый с серебром;Полутень;Морозостойкий до -2°C;Для северных регионов;./img/Florida Frost.jpg;0;0
77;Florida Glitter;;;;;;;45-50;16-18;Сердцевидная;Розовый/серебро;Полутень;Блестящие листья;Декоративный;./img/Florida Glitter.jpg;0;0
78;Florida Glow;;;;;;;45-50;16-18;Сердцевидная;Золотисто-розовый;Полутень;Светящийся эффект;Для темных уголков;./img/Florida Glow.jpg;0;0
79;Florida Gold;;;;;;;45-50;16-18;Сердцевидная;Жёлтый;Полутень;Золотистый;Солнечный;./img/Florida Gold.jpg;0;0
80;Florida Harmony;;;;;;;45-50;16-18;Сердцевидная;Розово-зелёный;Полутень;Гармоничный;Для медитации;./img/Florida Harmony.jpg;0;0
81;Florida Hope;;;;;;;45-50;16-18;Сердцевидная;Зелёный;Полутень;Перспективный;Эко-сорт;./img/Florida Hope.jpg;0;0
82;Florida Ice;;;;;;;40-45;15-17;Сердцевидная;Белый;Полутень;Ледяной узор;Зимняя коллекция;./img/Florida Ice.jpg;0;0
83;Florida Irish Lace;University of Florida;2002;PP13135;https://patents.justia.com/patent/PP13135;Gary J. Wilfret;Не указаны;40-60;10-18;Ланцетная;Тёмно-зелёный с волнистыми краями;Средняя;Кружевной вид;Компактный;./img/Florida Irish Lace.jpg;0;0
84;Florida Jade;;;;;;;40-45;16-18;Сердцевидная;Зелёный;Полутень;Нефритовый оттенок;Лечебный сад;./img/Florida Jade.jpg;0;0
85;Florida Joy;;;;;;;40-45;15-17;Сердцевидная;Жёлтый;Полутень;Радостный;Для детских;./img/Florida Joy.jpg;0;0
86;Florida Lancer;;;;;;;40-45;12-14;Сердцевидная;Красный;Полутень;Узкие мечевидные листья;Необычная форма;./img/Florida Lancer.jpg;0;0
87;Florida Legend;;;;;;;45-50;16-18;Сердцевидная;Красный;Полутень;Легендарный;Юбилейный;./img/Florida Legend.jpg;0;0
88;Florida Lullaby;;;;;;;40-45;15-17;Сердцевидная;Нежно-розовый;Полутень;Успокаивающий;Для спален;./img/Florida Lullaby.jpg;0;0
89;Florida Magic;;;;;;;45-50;16-18;Сердцевидная;Пурпурный;Полутень;Волшебный;Эксклюзив;./img/Florida Magic.jpg;0;0
90;Florida Miracle;;;;;;;40-45;15-17;Сердцевидная;Белый;Полутень;Чудо;Релиз 2025;./img/Florida Miracle.jpg;0;0
91;Florida Mirage;;;;;;;45-50;16-18;Сердцевидная;Переливающийся розово-голубой;Полутень;Оптический эффект миража;Меняет цвет под разным углом;./img/Florida Mirage.jpg;0;0
92;Florida Mist;;;;;;;40-45;14-16;Сердцевидная;Розовый;Полутень;Дымчатый узор;Загадочный;./img/Florida Mist.jpg;0;0
93;Florida Misty;;;;;;;40-45;15-17;Сердцевидная;Серебристо-розовый;Полутень;Дымчатый эффект;Для патио;./img/Florida Misty.jpg;0;0
94;Florida Moonlight;Флорида, США;2004;USPP14565;https://patents.google.com/patent/USPP14565;Brent K. Harbaugh, Baldwin D. Miranda;«Aaron» (не запатентован) × «Candidum Junior» (не запатентован);50-55;18-20;Сердцевидная;Белоснежный с зелёными прожилками;Тень;Светится в лунном свете. Один из первых белых сортов UF;Ночное свечение. Быстрое прорастание клубней;./img/Florida Moonlight.jpg;1;1
95;Florida Nebula;;;;;;;45-50;16-18;Сердцевидная;Космический фиолетовый с звёздами;Полутень;Космическая коллекция;Светящиеся в темноте точки;./img/Florida Nebula.jpg;0;0
96;Florida Nova;;;;;;;40-45;15-17;Сердцевидная;Розово-красный;Полутень;Устойчив к грибкам;Новинка 2024;./img/Florida Nova.jpg;0;0
97;Florida Pearl;;;;;;;40-45;15-17;Сердцевидная;Жемчужно-белый;Полутень;Перламутровый эффект;Для свадеб;./img/Florida Pearl.jpg;0;0
98;Florida Pink;;;;;;;40-45;15-17;Сердцевидная;Розовый;Полутень;Нежный оттенок;Для свадеб;./img/Florida Pink.jpg;0;0
99;Florida Rainbow;;;;;;;45-50;16-18;Сердцевидная;Разноцветный;Полутень;Новинка;Эксперимент;./img/Florida Rainbow.jpg;0;0
100;Florida Red Ruffles;Classic Caladiums;;;;;;45-50;16-18;Сердцевидная;Красный;Устойчивый к солнцу;Спонтанная мутация в питомнике;Гофрированный;./img/Florida Red Ruffles.jpg;0;1
101;Florida Sky;;;;;;;45-50;16-18;Сердцевидная;Голубовато-зелёный;Полутень;Небесный оттенок;Расслабляющий;./img/Florida Sky.jpg;0;0
102;Florida Starburst;;;;;;;45-50;16-18;Сердцевидная;Красный/белый;Полутень;Звездчатый узор;Декоративный;./img/Florida Starburst.jpg;0;0
103;Florida Storm;;;;;;;45-50;16-18;Сердцевидная;Фиолетово-синий с белыми молниями;Полутень;Вдохновлён грозой во Флориде;Драматичный контраст;./img/Florida Storm.jpg;0;0
104;Florida Sunburst;;;;;;;45-50;16-18;Сердцевидная;Жёлтый;Устойчивый к солнцу;Солнцелюбивый;Не выгорает;./img/Florida Sunburst.jpg;0;0
105;Florida Sunset;;;;;;;45-50;16-18;Сердцевидная;Оранжевый;Полутень;Закатный;Градиент;./img/Florida Sunset.jpg;0;0
106;Florida Sunshine;;;;;;;45-50;16-18;Сердцевидная;Лимонный;Устойчивый к солнцу;Не выгорает;Для южных штатов;./img/Florida Sunshine.jpg;0;0
107;Florida Sweetheart;;;;;;;40-45;15-18;Сердцевидная;Розовый/зелёный;Полутень;Выведен в Брадентоне, FL;Основа 58 гибридов;./img/Florida Sweetheart.jpg;1;1
108;Florida Twilight;;;;;;;40-45;15-17;Сердцевидная;Розовый/зелёный;Полутень;Сумеречная серия;Для патио;./img/Florida Twilight.jpg;0;0
109;Florida Vortex;;;;;;;45-50;16-18;Сердцевидная;Спиральный розово-белый узор;Полутень;Гипнотический эффект;Для медитативных садов;./img/Florida Vortex.jpg;0;0
110;Florida Whisper;;;;;;;40-45;15-17;Сердцевидная;Серебристо-зелёный;Полутень;Тихое сияние;Для офисов;./img/Florida Whisper.jpg;0;0
111;Florida White Ruffles;University of Florida;2003;PP14402;https://patents.justia.com/patent/PP14402;Baldwin D. Miranda;Не указаны;40-60;12-20;Ланцетная;Бело-зелёный;Средняя;Гофрированные края;Декоративность;./img/Florida White Ruffles.jpg;0;0
112;Florida Whitewater;University of Florida;2004;PP14845;https://patents.justia.com/patent/PP14845;Gary J. Wilfret;Не указаны;50-70;15-25;Ланцетная;Бело-зелёный;Высокая;Назван за окраску;Стабильный рост;./img/Florida Whitewater.jpg;0;0
113;Freckles;Classic Caladiums;2017;PP27943;https://patents.justia.com/patent/PP27943;Robert Dale Hartman;Не указаны;50-70;18-28;Фэнси;Тёмно-зелёный с оранжево-розовыми пятнами;Очень высокая;Устойчив к солнцу и болезням;Пятна напоминают веснушки;./img/Freckles.jpg;0;1
114;Freida Hemple;Classic Caladiums;;;;;;;;;;;;;./img/Freida Hemple.jpg;0;1
115;Frog In a Blender;;;;;;;;;;;;;;./img/Frog In a Blender.jpg;1;1
116;Garden White;University of Florida;2009;PP20448;https://patents.justia.com/patent/PP20448;Zhanao Deng, Brent Harbaugh;Не указаны;70-90;30-40;Сердцевидная;Белый с зелёной сеткой прожилок;Высокая;Рекордный размер листьев;Самый крупный белый сорт;./img/Garden White.jpg;0;0
117;Ghost Orchid;;;;;;;60-70;8-10;Лентовидная;Прозрачно-белый с зелёными жилками;Глубокая тень;Обнаружен в пещерах Северного Таиланда в 2018;Хлорофилл содержится только в прожилках;./img/Ghost Orchid.jpg;0;0
118;Gingerland;;;;;;;40-45;14-16;Сердцевидная;Розово-зелёный;Тень;Назван в честь сада Ginger;Теневыносливый;./img/Gingerland.jpg;1;0
119;Golden Buddha;;;;;;;55-60;15-18;Сердцевидная;Золотой с зелёным ореолом;Полутень;Благословенный сорт из храмов Бали;Символ процветания;./img/Golden Buddha.jpg;0;0
120;Golden Dragon;;;;;;;55-60;18-20;Сердцевидная;Золотистый с красными прожилками;Полутень;Коллекционный сорт из Китая;Листья с рельефной текстурой;./img/Golden Dragon.jpg;0;0
121;Golden Fleece;;;;;;;50-55;18-20;Сердцевидная;Жёлтый с зелёными пятнами;Полутень;Назван в честь мифологического золотого руна;Листья меняют цвет осенью;./img/Golden Fleece.jpg;0;0
122;Golden Gates;;;;;;;30-35;12-14;Сердцевидная;Жёлтый;Полутень;Новинка 2024;Солнечный;./img/Golden Gates.jpg;0;0
123;Golden Pagoda;;;;;;;55-60;15-18;Сердцевидная;Золотистый с зелёными полосами;Полутень;Создан для храмовых садов;Листья складываются на ночь;./img/Golden Pagoda.jpg;0;0
124;Grey Ghost;;;;;;;;;;;;;;./img/Grey Ghost.jpg;1;1
